name,nick,birth_date,height,weight,association,class,locality,country
Nazareno Malegarie,El Tigre,5/16/1986,68,155,Team Tavares,Lightweight,"Arrecifes, Buenos Aires",Argentina
T.J. O'Brien,The Spider,1/1/1987,74,155,Des Moines Jiu-Jitsu,Lightweight,"Prole, Iowa",United States
Shane Campbell,Shaolin,1/21/1988,72,155,Toshido Mixed Martial Arts,Lightweight,"Kelowna, British Columbia",Canada
Jorge Antonio Cezario de Oliveira,Blade,1/22/1980,70,155,Renovacao Fight Team,Lightweight,"Nilopolis, Rio de Janeiro",Brazil
Leonardo Mafra Texeira,Macarrao,4/25/1989,70,155,American Kickboxing Academy,Lightweight,"Santo Andre, Sao Paulo",Brazil
Cody Pfister,The Pfist,7/12/1990,70,155,Nick's Fight Club,Lightweight,"Amarillo, Texas",United States
Dashon Johnson,Fly Boy,1/25/1988,69,155,Team Xplode MMA,Lightweight,"Escondido, California",United States
Bernardo Magalhaes,Trekko,8/4/1981,69,155,TP Fight Team,Lightweight,Rio de Janeiro,Brazil
Gilbert Burns,Durinho,7/20/1986,70,155,Blackzilians,Lightweight,"Niteroi, Rio de Janeiro",Brazil
Nick Hein,Sergeant,4/24/1984,68,155,G.I. Sports,Lightweight,Cologne,Germany
Christos Giagos,The Spartan,1/23/1990,70,155,Systems Training Center,Lightweight,"Hawthorne, California",United States
Mickael Lebout,Ragnar,8/16/1987,71,155,MMA Factory,Lightweight,Paris,France
Leo Kuntz,The Lion,10/3/1983,70,155,American Top Team,Lightweight,"Linton, North Dakota",United States
David Michaud,Bulldawg,11/10/1988,69,155,MMA Lab,Lightweight,"Brookings, South Dakota",United States
Alan Patrick Silva Alves,Nuguette,7/19/1983,71,155,X-Gym,Lightweight,"Manaus, Amazonas",Brazil
Marcin Bandel,Bomba,10/10/1989,70,155,Drysdale Jiu-Jitsu,Lightweight,Lodz,Poland
Mehdi Baghdad,The Sultan,4/13/1985,73,155,Black House,Lightweight,Six-Fours-les-Plages,France
Daniel Downes,Danny Boy,4/8/1986,72,155,Roufusport,Lightweight,"Milwaukee, Wisconsin",United States
Lukasz Sajewski,Wookie,11/27/1990,68,155,Mighty Bulls Team,Lightweight,Gdansk,Poland
Allen Berube,Monstah,8/25/1974,68,155,Gracie Tampa,Lightweight,"Biddeford, Maine",United States
John Polakowski,Buckets of Blood,6/21/1981,69,155,The Pit,Lightweight,"San Luis Obsipo, California",United States
Carlo Prater,Neo,6/25/1981,72,155,Prater MMA,Lightweight,"Brasilia, Federal District",Brazil
Lipeng Zhang,The Warrior,3/10/1990,71,155,Fight Emperor,Lightweight,"Hohhot, Inner Mongolia",China
Cain Carrizosa,The Insane,7/22/1986,68,155,Elite Team,Lightweight,"Woodlake, California",United States
Rafael dos Anjos,,10/26/1984,69,155,Evolve MMA,Lightweight,Rio de Janeiro,Brazil
Gleison Tibau,,7/10/1983,70,155,American Top Team,Lightweight,"Mossoro, Rio Grande do Norte",Brazil
George Sotiropoulos,,7/9/1977,70,155,American Top Team,Lightweight,"Geelong, Victoria",Australia
Tyson Griffin,,4/20/1984,66,155,American Kickboxing Academy,Lightweight,"Santa Rosa, California",United States
Mark Bocek,,10/24/1981,69,155,Tristar Gym,Lightweight,"Toronto, Ontario",Canada
Evan Dunham,,12/18/1981,70,155,Xtreme Couture,Lightweight,"Eugene, Oregon",United States
Nate Diaz,,4/16/1985,72,155,Cesar Gracie Fight Team,Lightweight,"Stockton, California",United States
Terry Etim,,1/11/1986,73,155,Team Kaobon,Lightweight,Liverpool,England
Edson Barboza,,1/21/1986,71,155,Ricardo Almeida Jiu-Jitsu,Lightweight,"Nova Friburgo, Rio de Janeiro",Brazil
Jim Miller,,8/30/1983,68,155,Miller Brothers MMA,Lightweight,"Sparta, New Jersey",United States
John Cholish,,12/17/1983,71,155,Renzo Gracie Jiu-Jitsu,Lightweight,"Hackettstown, New Jersey",United States
Jeff Cox,,8/2/1968,,155,Strong Style Fight Team,Lightweight,"Cleveland, Ohio",United States
Roman Mitichyan,,4/9/1978,70,155,,Lightweight,,Armenia
Hermes Franca,,8/27/1974,66,155,Team Hermes Franca,Lightweight,"Fortaleza, Ceara",Brazil
Mac Danzig,,1/2/1980,68,155,PKG,Lightweight,"Los Angeles, California",United States
Leonardo Santos,,2/5/1980,72,155,Nova Uniao,Lightweight,Rio de Janeiro,Brazil
T.J. Grant,,2/26/1984,70,155,Fit Plus,Lightweight,"Cole Harbour, Nova Scotia",Canada
Justin Buchholz,,8/22/1983,71,155,Team Alpha Male,Lightweight,"Sacramento, California",United States
Felipe Olivieri,,,,155,Nova Uniao,Lightweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Al Iaquinta,,4/30/1987,67,155,Serra-Longo Fight Team,Lightweight,"New York City, New York",United States
Ronys Torres,,8/13/1986,68,155,Nova Uniao,Lightweight,"Manacapuru, Amazonas",Brazil
Akihiro Gono,,10/7/1974,69,155,OxyGym Fight Team,Lightweight,"Higashikurume, Tokyo",Japan
Shane Roller,,7/14/1979,70,155,Team Takedown,Lightweight,"Bixby, Oklahoma",United States
Brian Geraghty,,11/4/1980,67,155,Freestyle Academy,Lightweight,"Pleasant Prairie, Wisconsin",United States
Beneil Dariush,,5/6/1989,70,155,Kings MMA,Lightweight,"Yorba Linda, California",United States
Steve Lopez,,7/30/1984,71,155,Syndicate MMA,Lightweight,"South Bend, Indiana",United States
Chris Liguori,The Story,,70,155,Ricardo Almeida Jiu-Jitsu,Lightweight,"Toms River, New Jersey",United States
Vagner Rocha,Ceara,6/6/1982,71,155,Team VRMA,Lightweight,Rio de Janeiro,Brazil
Frankie Perez,,5/11/1989,71,155,Ricardo Almeida Jiu-Jitsu,Lightweight,"Howell, New Jersey",United States
Chris Wade,,9/30/1987,69,155,East Islip Kickboxing,Lightweight,"Long Island, New York",United States
Islam Makhachev,,9/27/1991,70,155,Fightspirit Team,Lightweight,"Makhachkala, Republic of Dagestan",Russia
Spencer Fisher,The King,5/9/1976,67,155,,Lightweight,"Davenport, Iowa",United States
Fabiano Iha,,7/28/1970,68,155,,Lightweight,"Huntington Beach, California",United States
Dorian Price,,8/20/1977,75,155,Team Jorge Gurgel,Lightweight,"Columbus, Ohio",United States
Andre Winner,,11/9/1981,71,155,Team Rough House,Lightweight,"Leicester, Leicestershire",England
Nate Mohr,,3/3/1983,69,155,Team Curran,Lightweight,"Cedar Falls, Iowa",United States
Eddie Alvarez,,1/11/1984,70,155,Blackzilians,Lightweight,"Philadelphia, Pennsylvania",United States
Eddie Ruiz,,,67,155,,Lightweight,,USA
Drew Dober,,10/19/1988,68,155,MidAmerica Martial Arts,Lightweight,"Omaha, Nebraska",United States
Alberto Crane,,7/14/1976,69,155,Alberto Crane MMA,Lightweight,"Santa Fe, New Mexico",United States
Joe Proctor,,8/10/1985,70,155,Team Aggression,Lightweight,"Pembroke, Massachusetts",United States
Paul Rodriguez,,5/18/1975,68,155,American Top Team Orlando,Lightweight,"Orlando, Florida",United States
Cesar Marcussi,,,,155,Ryan Gracie Team,Lightweight,"Cascavel, Parana",Brazil
Andy Wang,,5/28/1977,66,155,Grappling Unlimited,Lightweight,"Los Angeles, California",United States
Kyle Watson,,8/9/1979,72,155,HIT Squad,Lightweight,"Granite City, Illinois",United States
Brian Foster,,4/4/1984,70,155,factoryX Muay Thai,Lightweight,"Sallisaw, Oklahoma",United States
Rodrigo Goiana de Lima,Monstro,3/3/1991,69,155,Coalizao Fight Team,Lightweight,"Macapa, Amapa",Brazil
Quinn Mulhern,,9/20/1984,75,155,Jackson-Wink MMA,Lightweight,"Santa Fe, New Mexico",United States
John Halverson,,9/8/1972,69,155,,Lightweight,"Waukee, Iowa",United States
Elias Silverio,Xuxu,9/22/1986,71,155,Elias Silverio Team,Lightweight,"Pirapora do Bom Jesus, Sao Paulo",Brazil
Ramsey Nijem,,4/1/1988,71,155,Skrap Pack,Lightweight,"Orem, Utah",United States
C.J. Keith,,8/9/1986,72,155,Pro Buhawe,Lightweight,"Porterville, California",United States
Anton Kuivanen,,5/1/1984,69,155,Primus Fight Team,Lightweight,Helsinki,Finland
Vinc Pichel,From Hell,11/23/1982,70,155,,Lightweight,"Simi Valley, California",United States
Joe Veres,,11/9/1977,66,155,MMA Lab,Lightweight,"Glendale, California",United States
Aaron Riley,,12/9/1980,69,155,Jackson-Wink MMA,Lightweight,"Tell City, Indiana",United States
Teemu Packalen,,5/22/1987,73,155,Finnfighters Gym,Lightweight,Turku,Finland
Garett Whiteley,,12/13/1980,72,155,IndyBoxing and Grappling,Lightweight,"Indianapolis, Indiana",United States
Josh Shockley,,11/15/1989,73,155,Duneland Vale Tudo,Lightweight,"Lake Station, Indiana",United States
Henry Martinez,,8/7/1983,67,155,Team Irish,Lightweight,"Albuquerque, New Mexico",United States
Rick Davis,,,,155,Las Vegas Combat Club,Lightweight,"Las Vegas, Nevada",USA
Justin James,Pretty Boy,,70,155,,Lightweight,Nebraska,USA
Nick Agallar,,1/13/1979,,155,Agallar Combative Systems,Lightweight,"Racine, Wisconsin",United States
Kelly Dullanty,Psycho,7/4/1977,68,155,,Lightweight,"San Jose, California",USA
Cristiano Marcello,,12/3/1977,70,155,CM System,Lightweight,"Curitiba, Parana",Brazil
Magomed Mustafaev,,8/2/1988,69,155,Fight Club Berkut,Lightweight,"Sochi, Krasnodar Krai",Russia
Paul Georgieff,,9/22/1982,,155,,Lightweight,"St. Paul, Minnesota",United States
John Kolosci,,11/26/1974,71,155,Gilbert Grappling,Lightweight,"Portage, Indiana",United States
Anthony Christodoulou,,7/30/1987,69,155,Renzo Gracie Fight Academy,Lightweight,"Glyfada, Attica",Greece
Andrew Holbrook,,,71,155,Indy Boxing & Grappling,Lightweight,"Indianapolis, Indiana",United States
Jason Saggo,,11/23/1985,71,155,Wulfrun MMA,Lightweight,"Bolton, Ontario",Canada
Marco Polo Reyes,El Toro,,,155,,Lightweight,,Mexico
Edson Barboza,,1/21/1986,71,155,Ricardo Almeida Jiu-Jitsu,Lightweight,"Nova Friburgo, Rio de Janeiro",Brazil
Joaquim Silva,Netto BJJ,2/5/1989,68,155,Evolucao Thai,Lightweight,"Anapolis, Goias",Brazil
T.J. Grant,,2/26/1984,70,155,Fit Plus,Lightweight,"Cole Harbour, Nova Scotia",Canada
Nate Diaz,,,70,155,,Lightweight,,
Matt Arroyo,No Regard,9/10/1982,72,155,,Lightweight,"Cobleskill, New York",United States
Richie Hightower,The Dirty Samurai,11/24/1981,,155,,Lightweight,"Phoenix, Arizona",United States
Efrain Escudero,Hecho en Mexico,1/15/1986,69,155,MMA Lab,Lightweight,"Tempe, Arizona",United States
Dale Hartt,,,70,155,Team Sityodtong,Lightweight,"Bangor, Maine",United States
Paul Creighton,,4/7/1970,66,155,,Lightweight,"Manhattan, New York",USA
John Alessio,The Natural,7/5/1979,70,155,Xtreme Couture,Lightweight,"Vancouver, British Columbia",Canada
Sage Northcutt,Super,3/1/1996,72,156,Gracie Barra Katy,Lightweight,"Katy, Texas",United States
Joe Brammer,The Southside Strangler,8/30/1983,68,156,Victory MMA,Lightweight,"Des Moines, Iowa",United States
Caros Fodor,The Future,1/7/1984,69,156,AMC Pankration,Lightweight,"Kirkland, Washington",United States
Jake Matthews,The Celtic Kid,8/19/1994,69,156,Nexus,Lightweight,"Epping, Victoria",Australia
Jesse Ronson,The Body Snatcher,12/24/1985,69,156,Adrenaline Training Center,Lightweight,"London, Ontario",Canada
Tae Hyun Bang,The Supernatural,4/15/1983,69,156,Korean Top Team,Lightweight,Seoul,South Korea
Chad Laprise,The Disciple,7/23/1986,70,156,Adrenaline Training Center,Lightweight,"London, Ontario",Canada
Sako Chivitchyan,The Chainsaw,3/11/1984,,156,Team Hayastan,Lightweight,"Glendale, California",United States
Renee Forte,,3/27/1987,68,156,Team Renee Forte,Lightweight,"Fortaleza, Ceara",Brazil
Tony Martin,,12/11/1989,72,156,American Top Team,Lightweight,"St. Cloud, Minnesota",United States
Ryan Couture,,8/27/1982,70,156,Xtreme Couture,Lightweight,"Las Vegas, Nevada",United States
Carlos Diego Ferreira,,1/18/1985,68,156,James Cooper MMA,Lightweight,"Careiro da Varzea, Amazonas",Brazil
Albert Cheng,,2/7/1985,71,156,Xtreme Couture Toronto,Lightweight,"Mississauga, Ontario",Canada
Yuri Villefort,,3/23/1991,71,156,Blackzilians,Lightweight,"Boca Raton, Florida",United States
Jason Dent,Dynamite,6/12/1980,70,158,GriffonRawl Thaiboxing & MMA Academy,Welterweight,"Cincinnati, Ohio",United States
Lowell Anderson,,,66,158,Gracie Jiu-Jitsu,Welterweight,"Fairfield, Idaho",United States
David Kaplan,Diamond,,66,159,Team Tompkins,Welterweight,"Las Vegas, Nevada",United States
Isaac Vallie-Flagg,,4/8/1978,68,159,Jackson-Wink MMA,Welterweight,"Santa Fe, New Mexico",United States
Isaac Vallie-Flagg,,4/8/1978,68,159,Jackson-Wink MMA,Welterweight,"Santa Fe, New Mexico",United States
Josh Stuart,,,69,159,,Welterweight,"Harvey, Louisiana",United States
Eric Wisely,Little Lee,7/25/1984,68,160,Team Conquest,Welterweight,"Clinton, Iowa",United States
Phil Johns,Little Giant,12/31/1970,62,160,Silverbacks Vale Tudo,Welterweight,"Canton, Illinois",United States
Chris Tickle,Bad Boy,2/1/1982,69,160,Adrenaline MMA,Welterweight,"Bloomington, Illinois",United States
Chris Heatherly,Stump,,68,160,Fit or Fight,Welterweight,"Cahokia, Illinois",United States
Andre Pederneiras,Dede,3/22/1967,68,160,Nova Uniao,Welterweight,,Brazil
Waylon Lowe,,10/31/1980,67,160,,Welterweight,"Philadelphia, Pennsylvania",United States
Eugenio Tadeu,,,68,160,,Welterweight,Rio de Janeiro,Brazil
John Lewis,,7/16/1969,72,160,Lewis,Welterweight,"Las Vegas, Nevada",United States
Clay Harvison,Heavy Metal,9/25/1980,73,160,Madhouse Training,Welterweight,"Marietta, Georgia",United States
Steven Siler,Super,2/15/1987,71,164,The Pit Elevated Fight Team,Welterweight,"Provo, Utah",United States
John Maguire,The One,5/19/1983,69,165,Tsunami Gym,Welterweight,"Wisbech, Cambridgeshire",England
Sam Morgan,The Squeeze,9/28/1981,70,165,Team Bison,Welterweight,"Minneapolis, Minnesota",USA
Dave Strasser,,7/13/1969,70,167,Freestyle Academy,Welterweight,"Kenosha, Wisconsin",United States
Kit Cope,,3/17/1977,72,167,Twisted Genetiks,Welterweight,"Las Vegas, Nevada",United States
K.J. Noons,King,12/7/1982,71,168,The Arena,Welterweight,"San Diego, California",United States
Hayato Sakurai,Mach,8/24/1975,67,168,Mach Dojo,Welterweight,Ibaraki,Japan
Corey Hill,The Real Deal,10/3/1978,76,168,KO Evolution,Welterweight,"Brookfield, Florida",United States
Marcelo Aguiar,,,68,168,,Welterweight,,Brazil
Brandon Wolff,,,70,168,MMA Development,Welterweight,"Kailua, Hawaii",United States
Matt Dwyer,,12/17/1989,76,168,Toshido Mixed Martial Arts,Welterweight,"Kelowna, British Columbia",Canada
Vernon Ramos,,6/3/1992,69,168,507 BJJ,Welterweight,,Panama
Paul Kelly,Tellys,9/12/1984,69,169,Team Kaobon,Welterweight,Liverpool,England
Pat Miletich,The Croation Sensation,3/9/1968,70,169,Miletich Martial Arts,Welterweight,"Bettendorf, Iowa",United States
Derrick Noble,The Eraser,8/14/1978,69,169,Minnesota Martial Arts Academy,Welterweight,"Cuba, Illinois",United States
Brad Blackburn,Bad,5/25/1977,70,169,Victory Athletics,Welterweight,"Seattle, Washington",United States
Mark Holst,Boots,8/14/1985,72,169,OAMA,Welterweight,"Ottawa, Ontario",Canada
Tony DeSouza,The Peruvian Savage,7/26/1974,72,169,Millennia MMA,Welterweight,Cuzco,Peru
Jonathan Goulet,The Road Warrior,7/13/1979,72,169,Team Legion,Welterweight,"Victoriaville, Quebec",Canada
Jason Black,The Black Legion,8/15/1972,70,169,Miletich Martial Arts,Welterweight,"Davenport, Illinois",United States
Kiichi Kunimoto,Strasser,5/1/1981,70,169,Cobra Kai MMA Dojo,Welterweight,Osaka,Japan
Colby Covington,Chaos,2/22/1988,71,169,American Top Team,Welterweight,"Springfield, Oregon",United States
Albert Tumenov,Einstein,12/26/1991,71,169,K Dojo Warrior Tribe,Welterweight,Nalchik,Russia
Andreas Stahl,Real Steel,5/20/1988,71,169,Renyi Fight Camp,Welterweight,"Umea, Vasterbotten",Sweden
Steve Vigneault,Lion Heart,,70,169,Tristar Gym,Welterweight,"Iles de la Madeleine, Quebec",Canada
Jingliang Li,The Leech,3/20/1988,72,169,China Top Team,Welterweight,Beijing,China
Tony DeSouza,The Peruvian Savage,7/26/1974,72,169,Millennia MMA,Welterweight,Cuzco,Peru
Peter Sobotta,,1/11/1987,72,169,Planet Eater,Welterweight,Balingen,Germany
Karo Parisyan,The Heat,8/28/1982,70,169,,Welterweight,"North Hollywood, California",United States
Tarec Saffiedine,Sponge,9/6/1986,69,169,Evolve MMA,Welterweight,,Belgium
Ben Earwood,,,,169,Miletich Martial Arts,Welterweight,,
George Sullivan,,3/13/1981,72,169,Pellegrino MMA,Welterweight,"Belmar, New Jersey",United States
Josh Rafferty,,,72,169,Meat Truck Inc.,Welterweight,"Cincinnati, Ohio",United States
Jason Gilliam,,10/31/1972,72,169,Team Wolfpack,Welterweight,"Muncie, Indiana",United States
Tiki Ghosn,,2/9/1977,70,169,,Welterweight,"Huntington Beach, California",United States
Joe Merritt,Joey Slash,3/7/1984,72,169,Millennia MMA,Welterweight,"Rancho Cucamonga, California",United States
Ryo Chonan,Piranha,10/8/1976,69,169,Tribe Tokyo MMA,Welterweight,,Japan
Robbie Lawler,Ruthless,3/20/1982,71,170,American Top Team,Welterweight,"Granite City, Illinois",United States
Paul Bradley,The Gentleman,5/17/1983,69,170,Alliance MMA,Welterweight,"San Diego, California",United States
Stephen Thompson,Wonderboy,2/11/1983,72,170,Team Upstate Karate,Welterweight,"Simpsonville, South Carolina",United States
Carlos Condit,The Natural Born Killer,4/26/1984,73,170,Jackson-Wink MMA,Welterweight,"Albuquerque, New Mexico",United States
Johny Hendricks,Bigg Rigg,9/12/1983,69,170,Team Takedown,Welterweight,"Ada, Oklahoma",United States
Jake Ellenberger,The Juggernaut,3/28/1985,69,170,Reign MMA,Welterweight,"Omaha, Nebraska",United States
Matt Brown,The Immortal,1/10/1981,72,170,Team Jorge Gurgel,Welterweight,"Xenia, Ohio",United States
Lorenz Larkin,The Monsoon,9/3/1986,71,170,Millennia MMA,Welterweight,"Riverside, California",United States
Rory MacDonald,Red King,7/22/1989,71,170,Tristar Gym,Welterweight,"Kelowna, British Columbia",Canada
Adlan Amagov,Borz,10/30/1986,71,170,Jackson-Wink MMA,Welterweight,Grozny,Russia
Josh Koscheck,Kos,11/30/1977,70,170,Dethrone Base Camp,Welterweight,"Buffalo, New York",United States
Pete Spratt,The Secret Weapon,1/9/1971,69,170,Team Spratt,Welterweight,"San Antonio, Texas",United States
Chris Lytle,Lights Out,8/18/1974,71,170,Integrated Fighting Academy,Welterweight,"Indianapolis, Indiana",United States
Steve Berger,The Red Nose Pitbull,5/20/1973,70,170,Berger MMA,Welterweight,"St. Louis, Missouri",United States
Ronald Jhun,Machine Gun,,71,170,808 Top Team,Welterweight,"Honolulu, Hawaii",United States
Phil Baroni,New York Bad Ass,4/16/1976,69,170,American Kickboxing Academy,Welterweight,"Long Island, New York",United States
Jorge Santiago,The Sandman,10/9/1980,73,170,Blackzilians,Welterweight,Rio de Janeiro,Brazil
Cody McKenzie,The AK Kid,12/16/1987,72,170,Warrior Camp,Welterweight,"Cordova, Alaska",United States
Kyle Noke,KO,3/18/1980,73,170,Jackson-Wink MMA,Welterweight,"Dubbo, New South Wales",Australia
Joe Riggs,Diesel,9/23/1982,72,170,MMA Lab,Welterweight,"Phoenix, Arizona",United States
Georges St. Pierre,Rush,5/19/1981,70,170,Tristar Gym,Welterweight,"St. Isidore, Quebec",Canada
Alexander Yakovlev,The Thunder of the North,7/18/1984,73,170,K Dojo Warrior Tribe,Welterweight,St. Petersburg,Russia
Matt Serra,The Terror,6/2/1974,66,170,Serra-Longo Fight Team,Welterweight,"Long Island, New York",United States
Ben Saunders,Killa B,4/13/1983,75,170,American Top Team Orlando,Welterweight,"Orlando, Florida",United States
Patrick Cote,The Predator,2/29/1980,71,170,BTT Canada,Welterweight,"Quebec City, Quebec",Canada
Yoshihiro Akiyama,Sexyama,7/29/1975,70,170,Jackson-Wink MMA,Welterweight,Osaka,Japan
Brandon Thatch,Rukus,7/11/1985,74,170,Elevation Fight Team,Welterweight,"Denver, Colorado",United States
Siyar Bahadurzada,The Great,4/17/1984,71,170,Blackzilians,Welterweight,Kabul,Afghanistan
Mark Scanlon,Scanno,,69,170,Team Kaobon,Welterweight,"Liverpool, Merseyside",England
Josh Neer,The Dentist,3/24/1983,71,170,Cesar Gracie Fight Team,Welterweight,"Des Moines, Iowa",United States
Hector Urbina,El Toro,9/17/1987,72,170,American Top Team,Welterweight,"Chicago, Illinois",United States
Dong Hyun Kim,Stun Gun,11/17/1981,73,170,Busan Team M.A.D.,Welterweight,"Busan, Yeongnam",South Korea
Shamar Bailey,The Watchman,9/22/1982,68,170,Sparta Indy,Welterweight,"Indianapolis, Indiana",United States
Marcus Aurelio,Maximus,8/18/1973,70,170,Elite Mixed Fighters,Welterweight,"Fortaleza, Ceara",Brazil
Thiago Alves,Pitbull,10/3/1983,70,170,American Top Team,Welterweight,"Fortaleza, Ceara",Brazil
Jonavin Webb,Spyder,4/28/1989,69,170,Renzo Gracie Philly,Welterweight,"Marlton, New Jersey",United States
Edward Faaloloto,Falo,7/15/1985,69,170,Mori Dojo,Welterweight,"Honolulu, Hawaii",United States
Duane Ludwig,Bang,8/4/1978,70,170,Grudge Training Center,Welterweight,"Denver, Colorado",United States
Luis Ramos,Beicao,1/18/1981,68,170,Nova Uniao,Welterweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Alexandre Barros,Baixinho,,68,170,Carlson Gracie Team,Welterweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Andrew Craig,Highlight,1/15/1986,73,170,Team Tooke,Welterweight,"Houston, Texas",United States
Tim Means,The Dirty Bird,2/20/1984,74,170,Fit NHB,Welterweight,"Albuquerque, New Mexico",United States
Erick Silva,The Tiger,6/21/1984,71,170,Team Nogueira,Welterweight,"Vila Velha, Espirito Santo",Brazil
Jamie Yager,The Chosyn 1,11/29/1983,74,170,Kings MMA,Welterweight,"Huntington Beach, California",United States
Hector Lombard,Showeather,2/2/1978,69,170,American Top Team,Welterweight,Matanzas,Cuba
Tamdan McCrory,The Barn Cat,11/5/1986,76,170,CNY MMA,Welterweight,"Cortland, New York",United States
Nicholas Musoke,Nico,4/5/1986,72,170,Allstars Training Center,Welterweight,"Botkyrka, Stockholm",Sweden
Joe Jordan,Porkchop,7/28/1978,66,170,Miletich Fighting Systems,Welterweight,"Pikeville, Kentucky",United States
Rob Kimmons,The Rosedale Reaper,1/30/1981,70,170,K2L Grindhouse,Welterweight,"Liberty, Missouri",United States
Hayder Hassan,Hulk,10/20/1982,70,170,American Top Team,Welterweight,"Coconut Creek, Florida",United States
Nathan Coy,Soulforce,7/24/1978,70,170,American Top Team,Welterweight,"Portland, Oregon",United States
Vicente Luque,The Silent Assassin,11/27/1991,71,170,Blackzilians,Welterweight,"Westwood, New Jersey",United States
Kamaru Usman,Marty / The Nigerian Nightmare,5/11/1988,72,170,Blackzilians,Welterweight,"Delray Beach, Florida",United States
Claude Patrick,The Prince,6/14/1980,70,170,Elite Mixed Fighters,Welterweight,"Mississauga, Ontario",Canada
Tyron Woodley,The Chosen One,4/17/1982,69,170,American Top Team Evolution,Welterweight,"St. Louis, Missouri",United States
Matt Riddle,Deep Waters,1/14/1986,73,170,Throwdown,Welterweight,"Lehighton, Pennsylvania",United States
John Hathaway,The Hitman,7/1/1987,74,170,London Shootfighters,Welterweight,"Brighton, Sussex",England
DaMarques Johnson,Darkness,6/28/1982,72,170,Elite Performance,Welterweight,"Salt Lake City, Utah",United States
Simeon Thoresen,The Grin,3/14/1984,73,170,Frontline Academy,Welterweight,Oslo,Norway
Gunnar Nelson,Gunni,7/28/1988,71,170,Mjolnir,Welterweight,Reykjavik,Iceland
Chris Cope,C-Murder,3/5/1983,72,170,The Arena,Welterweight,"San Diego, California",United States
Orlando Wiet,The Gladiator,10/24/1965,70,170,Team Wiet,Welterweight,Nancy,France
Dan Hardy,The Outlaw,5/17/1982,72,170,Team Rough House,Welterweight,"Nottingham, East Midlands",England
Roan Carneiro,Jucao,6/2/1978,71,170,American Top Team Atlanta,Welterweight,Rio de Janeiro,Brazil
Gilbert Smith,Midnight Magic,,69,170,Team Victory,Welterweight,"Colorado Springs, Colorado",United States
Nicolas Dalby,Sharpshooter,11/16/1984,71,170,Rumble Sports,Welterweight,Copenhagen,Denmark
Leon Edwards,Rocky,8/25/1991,70,170,UTC Birmingham,Welterweight,"Erdington, West Midlands",England
Danny Mitchell,The Cheesecake Assassin,8/8/1986,74,170,AVT Fight Team,Welterweight,"Doncaster, Yorkshire",England
Cathal Pendred,The Punisher,9/2/1987,73,170,SBG Ireland,Welterweight,"Dublin, Leinster",Ireland
Pascal Krauss,Panzer,4/19/1987,73,170,Peak MMA,Welterweight,Freiburg,Germany
Papy Abedi,Makambo,6/30/1978,71,170,Allstars Training Center,Welterweight,Stockholm,Sweden
Mike Pyle,Quicksand,9/18/1975,73,170,Syndicate MMA,Welterweight,"Las Vegas, Nevada",United States
Gerald Harris,Hurricane,11/19/1979,71,170,Ghost Dog,Welterweight,"Tulsa, Oklahoma",United States
Brian Ebersole,Bad Boy,11/27/1980,72,170,Tiger Muay Thai,Welterweight,"Bradley, Illinois",United States
Court McGee,The Crusher,12/12/1984,71,170,The Pit Elevated Fight Team,Welterweight,"Layton, Utah",United States
Keith Wisniewski,The Polish Connection,10/25/1981,71,170,Duneland Vale Tudo,Welterweight,"Portage, Indiana",United States
Nick Thompson,The Goat,6/23/1981,73,170,Minnesota Martial Arts Academy,Welterweight,"Minneapolis, Minnesota",United States
Anthony Macias,Mad Dog,7/16/1969,70,170,USA Stars,Welterweight,"Oklahoma City, Oklahoma",United States
Kevin Burns,The Fire,3/3/1980,72,170,Grudge Training Center,Welterweight,"Des Moines, Iowa",United States
Ricardo Almeida,Big Dog,11/29/1976,71,170,Renzo Gracie Jiu-Jitsu,Welterweight,"Bordentown, New Jersey",United States
Jeremy Jackson,The Scorpion,9/19/1982,70,170,Team Freedom,Welterweight,"Port Hueneme, California",United States
Rousimar Palhares,Toquinho,2/20/1980,68,170,Team Nogueira,Welterweight,"Dores do Indaia, Minas Gerais",Brazil
Renato Verissimo,Charuto,,73,170,BJ Penn's MMA,Welterweight,"Hilo, Hawaii",United States
Martin Kampmann,Hitman,4/17/1982,72,170,Xtreme Couture,Welterweight,Aarhus,Denmark
Brandon Melendez,The Murderer,3/24/1983,70,170,Elite Performance,Welterweight,"Bountiful, Utah",United States
Chad Reiner,The Grinder,,72,170,Premier Combat Center,Welterweight,"Omaha, Nebraska",United States
Jay Hieron,The Thoroughbred,7/29/1976,71,170,Xtreme Couture,Welterweight,"Long Island, New York",United States
Sergio Moraes,The Panther,7/23/1982,72,170,Evolucao Thai,Welterweight,"Sao Paulo, Sao Paulo",Brazil
Rick Story,The Horror,8/28/1984,70,170,MMA Lab,Welterweight,"Tacoma, Washington",United States
Jordan Mein,Young Gun,10/10/1989,71,170,Canadian Martial Arts Centre,Welterweight,"Lethbridge, Alberta",Canada
Mike Swick,Quick,6/19/1979,73,170,AKA Thailand,Welterweight,"San Jose, California",United States
Colin Fletcher,Freakshow,1/8/1983,74,170,Unity Gym,Welterweight,"Sunderland, Tyne and Wear",England
Yuki Kondo,Sora,7/17/1975,71,170,PANCRASEism,Welterweight,"Nagaoka, Niigata",Japan
